Day,Flowrate ,Riverheight,
25,31.3,0.572,
25.01041667,31.3,0.572,
25.02083333,31.1,0.57,
25.03125,30.7,0.565,
25.04166667,30.3,0.56,
25.05208333,30.1,0.558,
25.0625,30,0.557,
25.07291667,29.5,0.551,
25.08333333,29.2,0.548,
25.09375,28.7,0.542,
25.10416667,28.5,0.539,
25.11458333,28,0.533,
25.125,27.9,0.532,
25.13541667,27.7,0.529,
25.14583333,27.2,0.524,
25.15625,27.1,0.522,
25.16666667,26.8,0.519,
25.17708333,26.6,0.516,
25.1875,26.3,0.512,
25.19791667,26,0.509,
25.20833333,26.1,0.51,
25.21875,25.8,0.506,
25.22916667,25.6,0.503,
25.23958333,25.5,0.502,
25.25,25.2,0.499,
25.26041667,25.1,0.497,
25.27083333,24.8,0.494,
25.28125,24.6,0.491,
25.29166667,24.5,0.49,
25.30208333,24.4,0.489,
25.3125,24.5,0.49,
25.32291667,24.5,0.49,
25.33333333,24.5,0.49,
25.34375,24.5,0.49,
25.35416667,24.3,0.487,
25.36458333,24.3,0.487,
25.375,24,0.484,
25.38541667,23.9,0.482,
25.39583333,23.7,0.48,
25.40625,23.5,0.477,
25.41666667,23.4,0.476,
25.42708333,23.3,0.474,
25.4375,23.1,0.472,
25.44791667,23,0.471,
25.45833333,23,0.471,
25.46875,23,0.47,
25.47916667,23,0.47,
25.48958333,23,0.471,
25.5,23.2,0.473,
25.51041667,23.5,0.477,
25.52083333,23.6,0.478,
25.53125,23.7,0.479,
25.54166667,23.7,0.48,
25.55208333,24,0.484,
25.5625,24.1,0.485,
25.57291667,24.1,0.485,
25.58333333,24.2,0.486,
25.59375,24.6,0.491,
25.60416667,24.9,0.495,
25.61458333,25.4,0.501,
25.625,25.9,0.507,
25.63541667,26.3,0.512,
25.64583333,26.4,0.514,
25.65625,26.8,0.518,
25.66666667,27.1,0.522,
25.67708333,27.3,0.525,
25.6875,27.4,0.526,
25.69791667,27.9,0.532,
25.70833333,28.1,0.534,
25.71875,28.5,0.539,
25.72916667,29.2,0.547,
25.73958333,30.2,0.559,
25.75,31.9,0.579,
25.76041667,33.5,0.597,
25.77083333,36.3,0.629,
25.78125,39.2,0.66,
25.79166667,42.5,0.695,
25.80208333,46.1,0.732,
25.8125,50.2,0.773,
25.82291667,55.5,0.823,
25.83333333,60.8,0.866,
25.84375,69.7,0.935,
25.85416667,83.8,1.037,
25.86458333,101,1.152,
25.875,124,1.291,
25.88541667,144,1.402,
25.89583333,161,1.494,
25.90625,176,1.569,
25.91666667,189,1.63,
25.92708333,200,1.681,
25.9375,207,1.714,
25.94791667,220,1.773,
25.95833333,224,1.791,
25.96875,229,1.813,
25.97916667,234,1.836,
25.98958333,248,1.898,
26,247,1.894,
26.01041667,244,1.881,
26.02083333,246,1.888,
26.03125,253,1.919,
26.04166667,264,1.963,
26.05208333,249,1.902,
26.0625,259,1.943,
26.07291667,258,1.939,
26.08333333,250,1.903,
26.09375,248,1.896,
26.10416667,235,1.839,
26.11458333,235,1.839,
26.125,229,1.814,
26.13541667,225,1.798,
26.14583333,219,1.769,
26.15625,212,1.74,
26.16666667,205,1.706,
26.17708333,201,1.689,
26.1875,200,1.681,
26.19791667,191,1.642,
26.20833333,188,1.625,
26.21875,186,1.616,
26.22916667,183,1.6,
26.23958333,179,1.585,
26.25,175,1.563,
26.26041667,179,1.584,
26.27083333,179,1.581,
26.28125,183,1.601,
26.29166667,185,1.613,
26.30208333,197,1.667,
26.3125,208,1.722,
26.32291667,221,1.78,
26.33333333,235,1.842,
26.34375,252,1.912,
26.35416667,267,1.974,
26.36458333,285,2.05,
26.375,326,2.208,
26.38541667,351,2.298,
26.39583333,377,2.39,
26.40625,429,2.567,
26.41666667,423,2.548,
26.42708333,461,2.673,
26.4375,477,2.721,
26.44791667,517,2.847,
26.45833333,514,2.836,
26.46875,577,3.023,
26.47916667,549,2.941,
26.48958333,576,3.021,
26.5,586,3.05,
26.51041667,600,3.09,
26.52083333,605,3.105,
26.53125,596,3.079,
26.54166667,624,3.158,
26.55208333,680,3.31,
26.5625,697,3.356,
26.57291667,724,3.427,
26.58333333,752,3.5,
26.59375,748,3.488,
26.60416667,746,3.483,
26.61458333,814,3.655,
26.625,789,3.592,
26.63541667,825,3.681,
26.64583333,818,3.664,
26.65625,824,3.68,
26.66666667,847,3.737,
26.67708333,819,3.667,
26.6875,855,3.755,
26.69791667,862,3.773,
26.70833333,897,3.856,
26.71875,883,3.822,
26.72916667,889,3.836,
26.73958333,858,3.762,
26.75,887,3.832,
26.76041667,835,3.706,
26.77083333,852,3.747,
26.78125,858,3.763,
26.79166667,857,3.76,
26.80208333,791,3.599,
26.8125,786,3.584,
26.82291667,756,3.509,
26.83333333,751,3.497,
26.84375,725,3.429,
26.85416667,697,3.355,
26.86458333,622,3.151,
26.875,583,3.042,
26.88541667,541,2.918,
26.89583333,514,2.836,
26.90625,474,2.712,
26.91666667,460,2.67,
26.92708333,416,2.524,
26.9375,398,2.465,
26.94791667,365,2.347,
26.95833333,323,2.196,
26.96875,322,2.19,
26.97916667,315,2.164,
26.98958333,303,2.117,
27,307,2.134,
27.01041667,298,2.098,
27.02083333,294,2.083,
27.03125,293,2.08,
27.04166667,291,2.072,
27.05208333,281,2.034,
27.0625,279,2.026,
27.07291667,265,1.966,
27.08333333,262,1.954,
27.09375,252,1.913,
27.10416667,243,1.876,
27.11458333,234,1.838,
27.125,227,1.806,
27.13541667,225,1.799,
27.14583333,213,1.744,
27.15625,207,1.716,
27.16666667,202,1.693,
27.17708333,195,1.66,
27.1875,189,1.63,
27.19791667,183,1.602,
27.20833333,180,1.587,
27.21875,178,1.577,
27.22916667,172,1.548,
27.23958333,165,1.515,
27.25,163,1.501,
27.26041667,153,1.448,
27.27083333,154,1.457,
27.28125,151,1.44,
27.29166667,144,1.404,
27.30208333,141,1.386,
27.3125,137,1.366,
27.32291667,134,1.347,
27.33333333,130,1.322,
27.34375,126,1.303,
27.35416667,126,1.302,
27.36458333,124,1.29,
27.375,121,1.271,
27.38541667,119,1.263,
27.39583333,117,1.25,
27.40625,114,1.231,
27.41666667,111,1.213,
27.42708333,109,1.201,
27.4375,107,1.186,
27.44791667,105,1.175,
27.45833333,102,1.16,
27.46875,103,1.163,
27.47916667,101,1.148,
27.48958333,97.9,1.131,
27.5,97.3,1.127,
27.51041667,94.2,1.107,
27.52083333,93.8,1.104,
27.53125,91.2,1.087,
27.54166667,90,1.079,
27.55208333,87.5,1.062,
27.5625,86.7,1.057,
27.57291667,85.6,1.049,
27.58333333,84.4,1.041,
27.59375,83.7,1.036,
27.60416667,82.5,1.028,
27.61458333,81.2,1.019,
27.625,79.7,1.008,
27.63541667,80.4,1.013,
27.64583333,79.3,1.005,
27.65625,78.1,0.997,
27.66666667,78.4,0.999,
27.67708333,76.2,0.983,
27.6875,75.2,0.976,
27.69791667,73.7,0.965,
27.70833333,74.3,0.969,
27.71875,73.4,0.963,
27.72916667,71.4,0.948,
27.73958333,71.8,0.951,
27.75,70.7,0.943,
27.76041667,70.3,0.94,
27.77083333,69.7,0.935,
27.78125,68.4,0.925,
27.79166667,67.7,0.92,
27.80208333,67.4,0.918,
27.8125,66.8,0.913,
27.82291667,66.5,0.911,
27.83333333,66.3,0.909,
27.84375,65.4,0.902,
27.85416667,65.4,0.902,
27.86458333,64.6,0.896,
27.875,63.9,0.891,
27.88541667,62.9,0.883,
27.89583333,63.4,0.887,
27.90625,62.3,0.878,
27.91666667,61.4,0.871,
27.92708333,61.7,0.873,
27.9375,61.2,0.869,
27.94791667,60.7,0.865,
27.95833333,59.8,0.858,
27.96875,59.5,0.856,
27.97916667,59.7,0.857,
27.98958333,59.3,0.854,
28,58.1,0.844,
28.01041667,58.3,0.846,
28.02083333,57.3,0.838,
28.03125,57.2,0.837,
28.04166667,56.1,0.828,
28.05208333,56.4,0.83,
28.0625,55,0.819,
28.07291667,55.2,0.82,
28.08333333,54.6,0.815,
28.09375,54.5,0.814,
28.10416667,53.4,0.804,
28.11458333,53.1,0.801,
28.125,52.9,0.799,
28.13541667,52.7,0.797,
28.14583333,51.7,0.787,
28.15625,52,0.79,
28.16666667,51.2,0.783,
28.17708333,51.4,0.784,
28.1875,51,0.781,
28.19791667,50.5,0.776,
28.20833333,50.6,0.777,
28.21875,49.8,0.769,
28.22916667,50.1,0.772,
28.23958333,49.8,0.769,
28.25,49.3,0.764,
28.26041667,48.8,0.759,
28.27083333,48.4,0.755,
28.28125,47.5,0.746,
28.29166667,47.5,0.746,
28.30208333,48,0.751,
28.3125,47.6,0.747,
28.32291667,47.1,0.742,
28.33333333,46.8,0.739,
28.34375,47.2,0.743,
28.35416667,46.7,0.738,
28.36458333,46.3,0.734,
28.375,46,0.731,
28.38541667,45.5,0.726,
28.39583333,45.6,0.727,
28.40625,45.3,0.724,
28.41666667,45.1,0.722,
28.42708333,44.8,0.719,
28.4375,44.7,0.718,
28.44791667,44.1,0.712,
28.45833333,43.7,0.708,
28.46875,44,0.711,
28.47916667,43.5,0.706,
28.48958333,43.6,0.707,
28.5,43.1,0.701,
28.51041667,42.9,0.699,
28.52083333,42.9,0.699,
28.53125,42.9,0.699,
28.54166667,42.4,0.694,
28.55208333,42.5,0.695,
28.5625,42.1,0.691,
28.57291667,41.7,0.687,
28.58333333,41.6,0.686,
28.59375,41.2,0.682,
28.60416667,41.4,0.684,
28.61458333,41.3,0.683,
28.625,41.1,0.681,
28.63541667,41.1,0.68,
28.64583333,40.7,0.676,
28.65625,40.5,0.674,
28.66666667,40.4,0.673,
28.67708333,40.2,0.671,
28.6875,40,0.669,
28.69791667,40,0.669,
28.70833333,40.1,0.67,
28.71875,39.9,0.668,
28.72916667,39.7,0.666,
28.73958333,39.7,0.666,
28.75,39.5,0.664,
28.76041667,39.3,0.661,
28.77083333,39.2,0.66,
28.78125,38.9,0.657,
28.79166667,38.5,0.653,
28.80208333,38.6,0.654,
28.8125,38.1,0.648,
28.82291667,38,0.647,
28.83333333,37.8,0.645,
28.84375,37.7,0.644,
28.85416667,37.4,0.641,
28.86458333,37.5,0.642,
28.875,37.1,0.638,
28.88541667,37,0.636,
28.89583333,37,0.636,
28.90625,37,0.636,
28.91666667,36.4,0.63,
28.92708333,36.6,0.632,
28.9375,36.2,0.628,
28.94791667,36.3,0.629,
28.95833333,35.8,0.623,
28.96875,35.7,0.622,
28.97916667,35.5,0.62,
28.98958333,35.4,0.619,
29,34.8,0.612,
29.01041667,34.9,0.613,
29.02083333,35.1,0.615,
29.03125,35,0.614,
29.04166667,34.6,0.61,
29.05208333,34.5,0.609,
29.0625,34.3,0.607,
29.07291667,34.3,0.607,
29.08333333,34.4,0.608,
29.09375,33.8,0.601,
29.10416667,33.9,0.602,
29.11458333,33.4,0.596,
29.125,33.1,0.593,
29.13541667,33.1,0.593,
29.14583333,33.1,0.593,
29.15625,32.7,0.588,
29.16666667,32.8,0.59,
29.17708333,32.8,0.59,
29.1875,32.7,0.588,
29.19791667,32.7,0.588,
29.20833333,32.1,0.582,
29.21875,32.1,0.581,
29.22916667,32,0.58,
29.23958333,31.7,0.577,
29.25,31.8,0.578,
29.26041667,31.4,0.574,
29.27083333,31.4,0.573,
29.28125,31.1,0.57,
29.29166667,31.1,0.57,
29.30208333,31.2,0.571,
29.3125,30.8,0.567,
29.32291667,30.8,0.566,
29.33333333,30.8,0.566,
29.34375,30.5,0.563,
29.35416667,30.5,0.563,
29.36458333,30.3,0.561,
29.375,30.2,0.559,
29.38541667,30.2,0.559,
29.39583333,30.1,0.558,
29.40625,30,0.557,
29.41666667,30,0.557,
29.42708333,29.9,0.556,
29.4375,29.6,0.552,
29.44791667,29.5,0.551,
29.45833333,29.4,0.55,
29.46875,29.3,0.549,
29.47916667,29.4,0.55,
29.48958333,29.4,0.55,
29.5,29.2,0.548,
29.51041667,29.4,0.55,
29.52083333,29.3,0.549,
29.53125,29.5,0.551,
29.54166667,29.5,0.551,
29.55208333,29.5,0.551,
29.5625,29.3,0.549,
29.57291667,29.2,0.548,
29.58333333,29.2,0.547,
29.59375,29.2,0.547,
29.60416667,29,0.545,
29.61458333,29.1,0.546,
29.625,29,0.545,
29.63541667,29,0.545,
29.64583333,28.8,0.543,
29.65625,28.7,0.541,
29.66666667,28.7,0.541,
29.67708333,28.7,0.542,
29.6875,28.3,0.537,
29.69791667,28.3,0.537,
29.70833333,28.2,0.536,
29.71875,28.3,0.537,
29.72916667,28,0.533,
29.73958333,27.7,0.529,
29.75,27.6,0.528,
29.76041667,27.4,0.526,
29.77083333,27.2,0.523,
29.78125,27,0.521,
29.79166667,26.9,0.52,
29.80208333,26.6,0.516,
29.8125,26.4,0.513,
29.82291667,26.5,0.515,
29.83333333,26.4,0.514,
29.84375,26.4,0.514,
29.85416667,26.1,0.51,
29.86458333,26,0.509,
29.875,25.8,0.506,
29.88541667,25.8,0.506,
29.89583333,25.8,0.506,
29.90625,25.6,0.503,
29.91666667,25.6,0.503,
29.92708333,25.5,0.502,
29.9375,25.2,0.499,
29.94791667,25.2,0.499,
29.95833333,25.1,0.497,
29.96875,24.9,0.495,
29.97916667,24.8,0.493,
29.98958333,24.8,0.493,
30,25.1,0.497,